Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,Month,Year,TimePeriod,Location_encoded,Operator_encoded,AC Type_encoded,Route_encoded,Fatality Rate,Survival Rate,Season
Florida,Chalk's Ocean Airways,101,"Miami, Florida - Bimini, Bahamas",Grumman G73T Turbo Mallard,N2969,J-27,20.0,18.0,2.0,20.0,18.0,2.0,0.0,"The seaplane crashed off Miami Beach next to a jetty as it was taking off. There was an explosion and fire and the right wing separated prior to the plane impacting the water. Examination of the wreckage revealed fatigue cracks in the right wing. The failure of Chalk's Ocean Airways' maintenance program to identify and properly repair fatigue cracks in the wing, and the failure of the FAA to detect and correct deficiencies in the company's maintenance program. Although a 16-inch crack in the wing had been patched, a more significant flaw in a nearby support beam hadn't been repaired. The carrier had no record of patching the crack.",12,2005,Afternoon,171,607,1426,2248,1.0,0.0,Winter
Azerbaijan,Azerbaijan Airlines,217,"Baku, Azerbaijan - Aktau, Kazakhstan",Antonov AN-140-100,  4K-AZ48,36525307036,23.0,18.0,5.0,23.0,18.0,5.0,0.0,The plane crashed along the shore of the Caspian Sea 8 minutes after taking off from Baku. Instrument failure left the crew unable to control the aircraft.,12,2005,Night,63,450,148,317,1.0,0.0,Winter
Near Karkov,Evolga,Unknown,Moscow - Karkov,British Aerospace BAe-125-700A,P4-AOD,257153,3.0,0.0,3.0,3.0,0.0,3.0,0.0,"On a positionning flight from Sheremetyevo to Kharkov to pick up passengers, while on final approach, the aircraft crashed in a frozen lake 3 km from runway threshold.",1,2006,Morning,314,795,688,2338,1.0,0.0,Winter
Iraq,Military - US,Unknown,Unknown,UH-60L Black Hawk,91-26346,,12.0,,,12.0,,,0.0,Crashed in bad weather.,1,2006,Unknown,229,1331,2241,3613,1.0,0.0,Winter
Uganda,Service Air,Unknown,Entebbe - Kinshasa,Antonov 12,9Q-CIH,4341803,6.0,0.0,6.0,6.0,0.0,6.0,0.0,The cargo plane carrying humanitarian relief items crashed shortly after takeoff. The cause was determined to be engine failure and an overweight and improperly balanced plane.,1,2006,Afternoon,507,1727,118,1161,1.0,0.0,Winter
Iran,Military - Iranian,Unknown,Tehran - Orumiyeh,Dassault Falcon 20,15-2233,318,11.0,8.0,3.0,11.0,8.0,3.0,0.0,"After a flyby to check on a stuck landing gear, the plane suffered a double engine flame-out and crashed into a field in poor weather conditions.",1,2006,Morning,228,1281,965,3453,1.0,0.0,Winter
Hungary,Military - Slovak,Unknown,Pristina - Kosice,Antonov AN-24V,5605,97305605,43.0,35.0,8.0,42.0,34.0,8.0,0.0,"A plane carrying peacekeeping soldiers crashed in a snowy forest at an altitude of 2,300 feet after taking the wrong flight path. The plane crashed about 18 miles from its destination of Kosice. Pilot error. The pilot chose to land without the help of the airport's radars, relying only on his own visual contact with the airport.",1,2006,Night,214,1318,159,2836,0.9767441860465116,0.023255813953488413,Winter
Wisconson,Air Cargo Carriers,Unknown,Unknown,Shorts 360-100 /Shorts 360-300,N3735W/N372AC,SH-3735/SH-3720,3.0,1.0,2.0,3.0,1.0,2.0,0.0,"The cargo plane was on a test flight. While flying in formation with another plane taking pictures the left wing impacted the left wing and engine of the other plane. The plane lost contorl, crashed and burned. The flight crew failed to maintain clearance from another aircraft as they turned to break formation flight while maneuvering. Contributing to the accident was the decision of both flight crews to fly in formation.",2,2006,Afternoon,538,181,2069,3613,1.0,0.0,Winter
Tennessee,TriCoastal Air,Unknown,"Dayton, Ohio -",Swearingen SA.226TC Metro II,N629EK,TC-396,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The pilot of the cargo flight reported he had an asymmetric fuel condition. The pilot  asked for a lower altitude and controllers cleared the flight to 4,000 feet. About a minute later the pilot transmitted six ""Maydays."" The airplane then descended in  a near vertical dive until it crashed into a pasture. The pilot's inflight loss of control following a reported fuel asymmetry condition for undetermined reasons.",2,2006,Afternoon,490,1995,2178,1030,1.0,0.0,Winter
Brazil,Team Air,6865,Macaé - Rio de Janeiro,Let L410UVP-E20,PT-FSE,912532,19.0,17.0,2.0,19.0,17.0,2.0,0.0,"Twenty minutes after taking off from Macaé, the plane disappeared of Rio de Janeiro radar. The crew was flying VFR in poor weather conditions and changed their route attempting to fly to the coast. The plane crashed in a wooded area, exploded and burned.",3,2006,Afternoon,90,1913,1646,2017,1.0,0.0,Spring
Kenya,Military - Kenya,Unknown,Nairobi - Eastleigh AFB,Harbin Yunshuji Y-12-II,132,0098,17.0,13.0,4.0,14.0,12.0,2.0,0.0,While on approach the airplane flew into the side of Mount Marsabit which was obscured by clouds.,4,2006,Morning,245,1288,1458,2400,0.8235294117647058,0.17647058823529416,Spring
Cameroon,Military - Lybian,Unknown,Sebha - N'Djamena,Antonov 74TK-200,UR-74038,36547097933,6.0,0.0,6.0,6.0,0.0,6.0,0.0,"Upon arrival of the cargo flight, the crew indicated a technical problem to ATC and few minutes later the plane crashed in an open field located near N'Djamena,",4,2006,Overnight,104,1294,135,3193,1.0,0.0,Spring
Afghanistan,US Government (leased),Unknown,Kabul - Kandahar - Lashkar Gah,Antonov AN-32B,ZS-PDV,3003,16.0,12.0,4.0,2.0,0.0,2.0,3.0,A cargo plane carrying U.S. anti-narcotics officials crashed while attempting to land at Bost Airport in Lashkar Gah. The plane overran the runway and crashed into a residential area after trying to avoid a truck that pulled onto the runway. The pilot pulled up to avoid hitting the truck but was unable to gain sufficient speed to remain airborne.,4,2006,Morning,33,2015,172,1568,0.125,0.875,Spring
Russia,Armavia,967,"Yerevan, Armenia - Sochi, Russia",Airbus A320-211,EK-32009,547,113.0,105.0,8.0,113.0,105.0,8.0,0.0,"The jetliner crashed into the Black Sea and broke up in driving rain and low visibility after making a second attempt to land. The plane disappeared from radar screens just under four miles from shore and crashed after making a turn and heading toward Adler airport for a landing. Pilot error. The captain, being in a psychoemotional stress condition, made nose down control inputs due to the loss of pitch and roll awareness.This started the abnormal situation. The captain's insufficient pitch control inputs led to a failure to recover the aircraft and caused it to crash. Along with the inadequate control inputs from the captain, the contributing factors of the crash were also the lack of monitoring the aircraft's pitch attitude, altitude and vertical speed by the first officer and no proper reaction by the crew to GPWS warnings.",5,2006,Overnight,428,396,101,3771,1.0,0.0,Spring
Saskatchewan,Saskatchewan Government Northern Air Operations,Unknown,Training,Convair CV-580,C-GSKJ,202,3.0,0.0,3.0,1.0,0.0,1.0,0.0,"On a climbout after a touch-and-go landing, the aircraft veered to the left, lost altitude and crashed in a wooded area 1 nm northwest of the airport.",5,2006,Afternoon,438,1701,896,3547,0.3333333333333333,0.6666666666666667,Spring
Off São Tomé Island,Air São Tomé,Unknown,Training,de Havilland Canada DHC-6 Twin Otter 300,S9-BAL,648,4.0,2.0,2.0,4.0,2.0,2.0,0.0,The aircraft disappeared from radar screens while on approach to São Tomé Island. The aircraft crashed in sea a  few km off shore.,5,2006,Night,366,253,2385,3547,1.0,0.0,Spring
China,Military - Chinese,Unknown,Unknown,KJ-2000,Unknown,,40.0,35.0,5.0,40.0,35.0,5.0,0.0,"Witnesses said they heard an explosion and when they reached the crash site they found the plane had crashed into a mountain and the main body of the plane had destroyed a section of bamboo forest, while the tail had dropped onto nearby fields. The plane crashed about 125 miles southwest of Shanghai. Caused by icing, after flying through several icy regions and the plane being overloaded..",6,2006,Afternoon,118,1248,1590,3613,1.0,0.0,Summer
Chad,Military - Chadian,Unknown,N'djamena - Abéché,Lockheed C-130 Hercules,TT-PAF,5141,7.0,0.0,7.0,5.0,0.0,5.0,0.0,"The military plane crashed into trees past the end of the runway as it tried to land at night at an unlit airport. Chadian rebels however, claim to have shot it down with a surface-to-air missile. The pilot and copilot survived.",6,2006,Night,115,1246,1713,2392,0.7142857142857143,0.2857142857142857,Summer
Napal,Yeti Airlines,Unknown,Surkhet - Jumla,de Havilland Canada DHC-6 Twin Otter 300,9N-AEQ,708,9.0,6.0,3.0,9.0,6.0,3.0,0.0,The plane crashed into a mountain on the east side of the airport after the pilot executed a go-around. The accident happened 1 kilometer from the airport.,6,2006,Afternoon,307,2148,2385,3351,1.0,0.0,Summer
Democratic Republic Congo,Mango Airlines,Unknown,Goma - Kisangani,Antonov AN-12B,9Q-CVT,3341506,5.0,2.0,3.0,5.0,2.0,3.0,0.0,The cargo plane had engine failure and struck a hill as it lost altitude.,7,2006,Afternoon,143,1198,144,1285,1.0,0.0,Summer
Russia,Sibir (S7),S7-778,Moscow - Irkutsk,Airbus A-310-324ET,F-OGYP,442,203.0,195.0,8.0,125.0,120.0,5.0,0.0,"The plane was landing at Irkutsk International Airport in rain and low visibility when it veered off and overran the runway, struck a building and burst into flames. It was reported the plane was traveling at a high rate of speed when it landed. Crew error. The mistaken and uncontrolled actions by the crew at the stage of slowing down after landing. The unintentional and uncontrolled movement in one of the engines, which was not detected by the crew in time.",7,2006,Morning,428,1749,79,2337,0.6157635467980296,0.3842364532019704,Summer
Pakistan,Pakistan International Airlines,688,Multan - Lahore,Fokker F-27 Friendship 200,AP-BAL,10243,45.0,41.0,4.0,45.0,41.0,4.0,0.0,"The plane lost an engine during take off, struck power lines and crashed into a wheat field bursting into flames. Possible engine fire.",7,2006,Afternoon,400,1485,1343,2377,1.0,0.0,Summer
Afghanistan,Afghan Army,Unknown,Khost to Kabul,Mil Mi-8,Unknown,,17.0,14.0,3.0,17.0,14.0,3.0,0.0,Crashed while en route,7,2006,Unknown,33,154,1908,1684,1.0,0.0,Summer
Democratic Republic Congo,Tracep,Unknown,Lugushwa - Bukavu,Antonov AN-28,9Q-COM,1AJ008-21,17.0,14.0,3.0,17.0,14.0,3.0,0.0,The aircraft was flying in low cloud and poor weather conditions as it approached the airport at Bukavu when it clipped a mountainside and plunged into the forest in flames 9 miles short of the runway.,8,2006,Unknown,143,1927,166,1997,1.0,0.0,Summer
Vermont,AirNow,59,"Binghamton, NY - Benningham, VT",Embraer 110 Bandeirante,N59BA,110-396,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The cargo plane was flying to Benningham for weekly maintenance but was diverted to Albany because of poor visibility. After an aborted first try the plane circled for another attempt but struck a mountainside. The pilot's misinterpretation of the airplane's position relative to the final approach fix, which resulted in the displacement of the descent profile by 6 nautical miles and the subsequent controlled flight into rising terrain. Contributing to the accident were the low clouds.",8,2006,Morning,520,294,1228,476,1.0,0.0,Summer
Italy,Air Algerie,2208,Algiers - Frankfurt,Lockheed L-100-30 Hercules,7T-VHG,4880,3.0,0.0,3.0,3.0,0.0,3.0,0.0,The cargo plane crashed after reporting engine problems while en route .,8,2006,Night,233,169,1767,156,1.0,0.0,Summer
Ukraine,Pulkovo Airlines,SP-612,Anapa - St. Petersburg,Tupolev Tu-154M,RA-85185,894,170.0,160.0,10.0,170.0,160.0,10.0,0.0,"The plane disappeared from radar shortly after making a distress call. A distress call was made at FL330 and again at FL100. The aircraft was reportly on fire before it crashed. The plane crashed in a field, 30 miles North of Donetsk and broke-up. Weather forecasters reported thunderstorms and lightning in the area at the time of the crash. The crew pushed the aircraft beyond its limits as they attempted to fly around a thunder storm. The crew steered the aircraft under manual control into an angle of attack that was beyond critical which resulted in  a stall and the subsequent transition into a flat spin and a collision with the ground.",8,2006,Afternoon,508,1590,2237,201,1.0,0.0,Summer
Kentucky,Comair,5191,Lexington - Atlanta,Canadair CRJ-200ER,N431CA,7472,50.0,47.0,3.0,49.0,47.0,2.0,0.0,"The jet commuter was the third of three airplanes to take off that morning. The previous two planes took off from Runway 22 without any problems. The flightcrew was cleard to taxi to Runway 22 and subsequently cleared for takeoff. However, flight 5191 used Runway 26, which is about half the length of Runway 22. The plane accelerated to 137 knots befoe it ran off the end of the runway, ran through an airport perimeter fence and impacted trees on an adjacent horse farm and burst into flames. The takeoff sequence took about 36 seconds.  The aircraft was still on the ground as the plane ran off the runway.The plane came to rest about 1,800 feet past the runway. It was dark with light rain at the time of the accident. The copilot was at the controls but it was the captain who taxied the plane into position for take off. The copilot was the lone survivor. The flight crew's failure to use available cues and aids to identify the airplane's location on the airport surface during taxi and their failure to cross check and verify that the airplane was on the correct runway before takeoff. Contributing to this accident were the flight crew's nonpertinent conversation during taxi, which resulted in loss of positional awareness and the Federal Aviation Administration's failure to require that all runway crossings be authorized only by specific air traffic control clearances.",8,2006,Morning,244,650,788,1864,0.98,0.020000000000000018,Summer
Iran,Iran Air Tours,Unknown,Bandar Abbas - Mashad,Tupolev Tu-154M,EP-MCF,88A788,148.0,137.0,11.0,29.0,29.0,0.0,0.0,The plane crashed while attempting to land. The plane's left wing may have come into contact with the ground causing the plane to skid off the runway and catch fire.,9,2006,Afternoon,228,997,2237,333,0.19594594594594594,0.8040540540540541,Fall
Afghanistan,Military - Royal,Unknown,Unknown,British Aerospace Nimrod MR-2,XV-230,8005,14.0,12.0,2.0,14.0,12.0,2.0,0.0,The NATO supporting aircraft crashed 12 miles west of Kandahar after the crew reported technical problems. The accident was most likely caused by an ignited fuel leak.,9,2006,Afternoon,33,1314,698,3613,1.0,0.0,Fall
Russia,Military - Russian,Unknown,Gizel - Khankala,Mi-8 helicopter,Unknown,,15.0,12.0,3.0,12.0,12.0,0.0,0.0,"Eleven high ranking officers were killed when the helicopter crashed to the ground, split in two and caught fire. A North Ossetian militant group called Kataib al-Khoul claimed responsibility for shooting down the helicopter.",9,2006,Afternoon,428,1315,1895,1273,0.8,0.19999999999999996,Fall
Nigeria,Military - Nigerian,Unknown,Abuja - Obudu,Dornier 228,NAF033,8229,18.0,15.0,3.0,13.0,11.0,2.0,0.0,"The military plane crashed en route less than 20 minutes from the end of a one-hour flight, 18 nm from its destination. Ten top ranking military officials were killed in the crash. The weather was poor at the time of the accident.",9,2006,Morning,337,1305,997,96,0.7222222222222222,0.2777777777777778,Fall
Brazil,Gol Airlines / Private,1907,Manaus - Brasilia,Boeing B-737-8EH /EMB-135JB,PR-GTD / N600XL,34653/2039 /14500965,161.0,153.0,8.0,154.0,148.0,6.0,0.0,"The flight disappeared from radar at 16:50 after leaving Manaus at 15:35, scheduled to arrive at Brasilia at 18:12. While en route the jetliner collided with an Embraer EMB-135BJ Legaacy 600 business jet. The Embraer was able to land safely at Serra de Cachimbo with a damaged wing and tail. Five passengers and two crew members on the Embraer were not injured. All 154 on board the 737 were killed. The flight recorder transcript from the executive jet showed that the pilots were told by Brazilian air traffic control to fly at the same altitude as the Boeing 737 before the planes collided. A Brazilian Air Force investigation concluded that a switched-off transponder on the EMB-135 contributed the plane crash. The report also said flight controllers failed to alert the pilots they were on a collision course and failed to notice the transponder was turned off.",9,2006,Afternoon,90,886,585,2070,0.9565217391304348,0.04347826086956519,Fall
Norway,Atlantic Airways,670,Stavanger - Stord,BAe 146-200,OY-CRG,2075/75,16.0,12.0,4.0,4.0,3.0,1.0,0.0,"While attempting to land, the charter plane skidded off the end of the runway, slid down an embankment and caught fire. One survivor was seriously hurt, eleven others were not seriously injured. Burning fuel in the cabin was the main reason three passengers and one crew member died and six others were badly injured. All six spoilers failed while landing. Even with the failed spoilers, a damp runway and a slight tailwind, there should have been sufficient room to stop. However, when the pilots realized the spoilers had failed, one of them selected emergency braking not realizing that this deactivated the antilock braking system.",10,2006,Morning,351,410,263,3316,0.25,0.75,Fall
Russia,Military - Russian,Unknown,Training/Aranchi,Antonov An-2,UK-70152,1G137-26 ,15.0,13.0,2.0,15.0,13.0,2.0,0.0,"The plane belonging to Uzbekistan Airways and carrying Uzbek servicemen, crashed after losing control while attempting to land in poor weather conditions. On it's final approach, fog reduced visibility and the aircraft descended below the MDA. It crashed a few miles from the airport.",10,2006,Morning,428,1315,188,3551,1.0,0.0,Fall
Nigeria,ADC Airlines,053,Lagos - Abuja - Sokoto,Boeing 737-2B7,5N-BFK,22891/998,105.0,100.0,5.0,96.0,92.0,4.0,0.0,The jetliner crashed into a corn field about a mile from the end of the runway while attempting to take off from Abuja. The pilot did not heed air traffic controllers' advice to not depart in stormy weather. The pilots’ incorrect actions stalled the plane.,10,2006,Morning,337,13,406,1800,0.9142857142857143,0.08571428571428574,Fall
Indonesia,Trigana Air Service,Unknown,Mulia - Ilaga,de Havilland Canada DHC-6 Twin Otter 300,PK-YPY,535,12.0,9.0,3.0,12.0,9.0,3.0,0.0,The aircraft struck a mountain seven minutes before it was scheduled to land in the remote Indonesian province of Papua.,11,2006,Morning,225,1996,2385,2375,1.0,0.0,Fall
Colombia,Aerosucre Colombia,Unknown,Bogota - Leticia,Boeing 727-23F,HK-3667X,19430/366,5.0,2.0,3.0,5.0,2.0,3.0,0.0,The cargo plane was on final approach when it hit a antenna tower and crashed. Fog and poor visibility prevailed at the time of the accident.,11,2006,Night,121,135,394,510,1.0,0.0,Fall
Iran,Military - Iranian,Unknown,Tehran - Shiraz,Antonov 74T-200,15-2255,470991045/2010,38.0,32.0,6.0,38.0,32.0,6.0,0.0,"The aircraft crashed after losing the right engine during a critical point in the takeoff. The plane stalled, veered to the right and crashed in flames. Three survivors later died in the hospital.",11,2006,Morning,228,1281,134,3454,1.0,0.0,Fall
California,Air ambulance - Mercy Air Services,Unknown,Loma Linda - Victorville,Bell 412,N410MA,33125,3.0,0.0,3.0,3.0,0.0,3.0,0.0,"The air ambulance crashed on a repositioning flight from Loma Linda Medical Center to its home base in Victorville. The pilot and two crew members were killed. No patients were aboard. The pilot's inadvertent encounter with instrument meteorological conditions and subsequent failure to maintain terrain clearance. Contributing to the accident were the dark night conditions, fog, and mountainous terrain.",12,2006,Overnight,101,289,334,1902,1.0,0.0,Winter
Indonesia,Adam Air,574,"Surabaya, East Java - Manado, Indonesia",Boeing B-737-4Q8,PK-KKW,24070,102.0,96.0,6.0,102.0,96.0,6.0,0.0,"While flying at FL350 the airliner went missing between Surabaya and Manado in poor weather conditions after the pilot reported strong winds. Wreckage was found 5 miles south of Parepare. The accident was caused by the autopilot being accidentally disconnected. The two pilots had been trying to fix a problem with the plane's navigation instruments when they disconnected the autopilot and lost control of the plane. Without the autopilot, the plane went out of control, listing to the right and pitching down. The IRS navigation system was repeatedly reported malfunctioning but was never repaired. This is what initially distracted the crew.",1,2007,Afternoon,225,39,577,3347,1.0,0.0,Winter
Iraq,Moldovan Aeriantur-M Air Cargo,Unknown,"Adana, Turkey - Balad Air Base, Iraq",Antonov 26B-100,ER-26068,11308,35.0,30.0,5.0,34.0,29.0,5.0,0.0,"The cargo plane crashed in fog while attempting to land for a second time at Balad Air Base. After the first attempt to land was aborted, the plane crashed 2.5km short of the runway.The plane was carrying Turkish construction workers.",1,2007,Unknown,229,1360,128,105,0.9714285714285714,0.02857142857142858,Winter
Iraq,Military - US,Unknown,Unknown,Sikorsky UH-60L Black Hawk,Unknown,,12.0,10.0,4.0,12.0,10.0,4.0,0.0,The helicopter crashed northeast of Baghdad. Shot down by a combination of several heavy machine guns and a shoulder-fired missile,1,2007,Unknown,229,1331,2120,3613,1.0,0.0,Winter
France,Regional Compagnie Aerienne Europeenne,7775,Pau - Paris,Fokker 100,F-GMPG ,11362,54.0,50.0,4.0,0.0,0.0,0.0,1.0,"The crew abandoned their takeoff after the loss of an engine due to bird ingestion. The jet overshot the runway and collided with a truck, killing the driver. The landing gear sheared off and the plane came to rest in a field.",1,2007,Morning,173,1613,1335,2716,0.0,1.0,Winter
Indonesia,Garuda Indonesia Airlines,200,Jakarta - Yogyakarta,Boeing B-737-497,PK-GZC,25664/2393,140.0,133.0,7.0,22.0,21.0,1.0,0.0,"While attempting to land, the plane overshot the runway, crashed through the airport barrier fence and burst into flames. The cockpit voice recorder revealed that the pilot and co-pilot were arguing over their speed and wing flap angles moments before the crash. An investigator stated the passenger jet was flying at up to 265 mph, almost double the normal landing speed, while attempting to land. The captain ignored the plane’s automated warning system as it sounded alarms fifteen times. He also ignored calls from the co-pilot to go around and make another approach.",3,2007,Morning,225,874,575,1512,0.15714285714285714,0.8428571428571429,Spring
Hawaii,Heli-USA Airways,Unknown,Sightseeing,Aerospatiale AS350BA Rotocraft,N354NT,1168,7.0,6.0,1.0,4.0,3.0,1.0,0.0,"The helicopter crashed on Kauai shortly after the pilot radioed that he was having problems with the hydraulics. The helicopter hit the ground about 200 yards from it's normal landing pad. The failure of maintenance personnel to properly tighten (torque) the flight control servo lower attachment clevis, and reinstall a functioning lock washer, which resulted in a flight control disconnect and a complete loss of helicopter control. Contributing to the accident was the operator's failure to ensure its maintenance program was being executed in accordance with Federal regulations.",3,2007,Afternoon,209,928,56,3246,0.5714285714285714,0.4285714285714286,Spring
Hawaii,Inter-Island,Unknown,Unknown,Mc Donnell Douglas 369FF Rotocraft,N911VC,0049FF,5.0,4.0,1.0,1.0,1.0,0.0,0.0,"The helicopter was flying low near the coast when there was a loud bang and parts, including the tail rotor, fell into the ocean. The helicopter then hit trees and a fence as it spiraled down into an open field. The fatigue failure of the tail rotor blade root fitting due to a manufacturing defect which resulted in the separation of the tail rotor system and loss of tail rotor control. A contributing factor to the accident were the trees that the helicopter struck during the autorotation.",3,2007,Night,209,982,1830,3613,0.2,0.8,Spring
Brazil,Bahia Taxi Aéreo 	 Bahia Taxi Aéreo 	 Bahia Taxi Aéreo,Unknown,Petrolina - Salvador,Rockwell 500S Shrike Commander,PP-SEC,3094	3094,4.0,2.0,2.0,4.0,2.0,2.0,0.0,"Fifteen minutes before arriving at its destination  the crew informed ATC about a technical problem and that they were losing altitude. Few minutes  later, the twin engine plane crashed into an open field.",3,2007,Unknown,90,462,1993,2734,1.0,0.0,Spring
Russia,UTAir Airlines,UT-471,Surgut - Samara,Tuolev 134AK,RA-65021,48390,57.0,50.0,7.0,6.0,6.0,0.0,0.0,"While attempting to land in heavy fog, the airplane contacted the ground 400 m short of the runway. The left wing hit the ground and separated from the fuselage. The plane then rolled over inverted and the fuselage broke apart. The accident can be blamed on both the controller, who did not inform the pilot about the reduced visibility in time due to organizational problems, and on the pilot, who did not give the dispatcher the correct information about his landing trajectory and, consequently, did not decide to stop the landing procedure and try to take another approach at the time he should have done so.",3,2007,Morning,428,2024,2198,3350,0.10526315789473684,0.8947368421052632,Spring
Somalia,Transaviaexport Airlines,Unknown,Mogadishu - Djibouti,Ilushin Il-76TD,EW-78849 ,1013405192,11.0,5.0,6.0,11.0,5.0,6.0,0.0,"The cargo plane, carrying African peacekeepers, was struck by an anti-aircraft missile shortly after taking off from Mogadishu Airport. The aircraft lost a wing into the Indian Ocean and shortly thereafter crashed in the eastern outskirts of Mogadishu.",3,2007,Afternoon,452,1965,1512,2289,1.0,0.0,Spring
Guyana,Air Services,Unknown,Kato - Kopinang,Pilatus Britten Norman BN-2A-27 Islander,8R-GET,484,5.0,4.0,1.0,3.0,2.0,1.0,0.0,The plane landed at Kato and could not take off because of bad weather. Twenty minutes after eventually taking off the plane crashed into mountains while en route. A mother and her five-year-old son walked for about 16 hours through Guyana's jungle to safety after surviving the crash.,4,2007,Afternoon,204,249,1954,1644,0.6,0.4,Spring
Chechnya,Military - Russian,Unknown,Unknown,Mi 8,Unknown,,18.0,15.0,3.0,18.0,15.0,3.0,0.0,The helicopter was carrying out a missiion with two other aircraft when a rotor blade struck an object while attempting to land. Conflicting reports say the helicopter may have been shot down by Chechnyan rebels.,4,2007,Morning,116,1315,1889,3613,1.0,0.0,Spring
Cameroon,Kenya Airways,507,"Abidjan, Ivory Coast - Douala, Cameroon - Nairobi, Kenya",Boeing B-737-8AL,5Y-KYA,35071/2079,114.0,105.0,9.0,114.0,105.0,9.0,0.0,"The plane crashed in a dense, swampy forested area, 5 km from Douala Airport, moments after taking off in stormy weather. The plane was just six months old.  After take off, the plane was banking right and the pilot did not notice the inclination, but when he did, he banked the craft further right. The pilot released the flight controls for nearly one minute without engaging the auto pilot, which could have corrected the banking angle, then at 34 degrees. However, his intervention worsened the tilt. The captain grabed the controls, appeared confused about the attitude of the airplane and made corrections in an erratic manner increasing the banking angle to 50 degrees. When the bank angle increased to 70 degrees, the captain stated ""we are crashing."" The first officer told him to level the aircraft, but quickly corrected himself and said ""left, left, left captain. The aircraft  then plunged nose down into a mangrove swamp.",5,2007,Overnight,104,1047,584,90,1.0,0.0,Spring
Egypt,Military - French,Unknown,El-Gora - Santa Katarina,de Havilland Canada DHC-6 Twin Otter,742/CB,742,9.0,5.0,4.0,9.0,5.0,4.0,0.0,"Collided with a truck while attempting to make an emergency landing on a road. French soldiers aboard were with  the Sinai's peacekeeping force, the Multinational Force & Observers.",5,2007,Morning,159,1269,2382,1143,1.0,0.0,Spring
Congo,Safe Air Complany,Unknown,Walikale - Goma,Let 410UVP,TN-AHE,851335,3.0,1.0,2.0,3.0,1.0,2.0,0.0,An engine on the cargo plane caught fire shortly after taking off. An emergency return attempt to the airstrip was unsuccessful and the plane crashed into a nearby forest.,5,2007,Morning,127,1688,1634,3700,1.0,0.0,Spring
Peru,Military - Peruvian,Unknown,Iquitos - Pucallpa,de Havilland Canada DHC-6 Twin Otter 300,FAP-303,483,20.0,17.0,3.0,13.0,10.0,3.0,0.0,Crashed into dense jungle shortly after taking off from Pampa Hermosa. The plane hit a hill and split in two.,5,2007,Afternoon,408,1308,2385,1460,0.65,0.35,Spring
Sierra Leone,Paramount Airlilnes,Unknown,Shuttle,Mi-8,Unknown,,22.0,20.0,2.0,21.0,20.0,1.0,0.0,The helicopter crashed and burned on the airport runway while attempting to land. It was shuttling passengers between Sierra Leone's coastal capital of Freetown and Lungi Airport.,6,2007,Night,446,1510,1894,3238,0.9545454545454546,0.045454545454545414,Summer
Wisconson,University of Michigan Health System,Unknown,"Milwaukee, WI - Detroit, MI",Cessna 550 Citation II,N550BP,550-0246,6.0,4.0,2.0,6.0,4.0,2.0,0.0,"The pilot issued a distress signal within five minutes of taking off from General Mitchell International Airport in Milwaukee, requesting an emergency return to the airport. The plane then crashed into Lake Michigan two miles off shore. The plane was carrying an organ transplant team. The pilot reported to ATC he had runaway trim prior to the accident. The pilot's mismanagement of an abnormal flight control situation through improper actions including lack of crew coordination and failing to control airspeed and to prioritize control of the airplane. The event was controllable if the captain had not allowed the airspeed and resulting control forces to increase while he tried to troubleshoot the problem. By allowing their airplane's speed to increase while engaging in poorly coordinated troubleshooting efforts, the pilots allowed and abnormal situation to escalate to an emergency.",6,2007,Afternoon,538,2055,836,2269,1.0,0.0,Summer
Mongolia,Mongolian Defense Ministry,Unknown,Unknown,Mi-8,Unknown,,22.0,19.0,3.0,15.0,12.0,3.0,0.0,"While en route to a forest fire, the helicopter crashed into dense forest on a mountain at an altitude of 6,100 feet.",6,2007,Unknown,295,1362,1894,3613,0.6818181818181818,0.31818181818181823,Summer
Congo,Karibu Airways,Unknown,Kamina - Lubumbashi,Let 410UVP,9Q-CEU,841217,25.0,22.0,3.0,1.0,1.0,0.0,0.0,The plane crashed shortly after taking off into a swamp coming to rest upside down. A parliment member of the Democratic Republic of Congo was killed.,6,2007,Unknown,127,1040,1634,1584,0.04,0.96,Summer
Cambodia,PMT Air,241,Siem Reap - Sihanoukville,Antonov AN-24V,XU-U4A,99901908,22.0,16.0,6.0,22.0,16.0,6.0,0.0,"The aircraft crashed into Phnom Damrey Mountain at an elevation of 1,640 feet, about 5 minutes from its destination of Sihanoukville.",6,2007,Morning,103,1467,159,3243,1.0,0.0,Summer
Angola,TAAG Angola Airlines,Unknown,Luanda - M'Banza,Boeing 737-2M2,D2-TBP,23220/1084,78.0,69.0,9.0,5.0,4.0,1.0,0.0,"The crew undershot the runway and blew two tires on landing, causing the landing gear to collapse and one wing to dip and touch the runway. The plane then veered out of control, overran the runway and crashed into cars and a building.",6,2007,Afternoon,47,1864,409,1983,0.0641025641025641,0.9358974358974359,Summer
